date	text	rating	aspects	sentiment	aspects_pretty	entities	person	geopolitical area	date	cardinal number	quantity	group	event	money	percent	organization	time	ordinal number	location	product	work of art	facility
2022-08-22	Отличная елка	star5	['елка']	['Positive']	елка	[]																
2022-08-21	Елка супер!	star5	['Елка']	['Positive']	Елка	[{'text': 'Елка', 'start': 0, 'end': 4, 'tokens': ['▁Ел', 'ка'], 'names': ['B-person', 'O'], 'filled': {'person'}}]	['Елка']															
2022-08-21	Ёлка соответствует фото, без брака, пришла быстро в Ростовскую область за 3 дня , спасибо продавцу!	star5	['Ёлка', 'продавцу']	['Positive', 'Positive']	Ёлка, продавцу	[{'text': 'Ростовскую область', 'start': 51, 'end': 70, 'tokens': ['▁Ростов', 'скую', '▁область'], 'names': ['B-geopolitical area', 'I-geopolitical area', 'I-geopolitical area'], 'filled': {'geopolitical area'}}, {'text': '3 дня', 'start': 73, 'end': 79, 'tokens': ['▁3', '▁дня'], 'names': ['B-date', 'I-date'], 'filled': {'date'}}]		['Ростовскую область']	['3 дня']													
2022-08-21	Елка супер очень понравилась 👍спасибо большое.	star5	['Елка']	['Positive']	Елка	[{'text': 'Елка', 'start': 0, 'end': 4, 'tokens': ['▁Ел', 'ка'], 'names': ['B-person', 'O'], 'filled': {'person'}}]	['Елка']															
2022-08-21	По факту все ветки елки где-то 195, а верхушка именно 1 ветка вверх сантиметров 20, вообщем странная ёлка, придётся подгибать, но 2,2 она не будет, очень расстроилась, но тащить ее обратно в офис вб мне не хочется.	star3	['ёлка']	['Negative']	ёлка	[{'text': '195,', 'start': 30, 'end': 35, 'tokens': ['▁195', ','], 'names': ['B-cardinal number', 'O'], 'filled': {'cardinal number'}}, {'text': '1', 'start': 53, 'end': 55, 'tokens': ['▁1'], 'names': ['B-cardinal number'], 'filled': {'cardinal number'}}, {'text': 'сантиметров 20,', 'start': 67, 'end': 83, 'tokens': ['▁сантиметр', 'ов', '▁20', ','], 'names': ['B-quantity', 'I-quantity', 'B-quantity', 'O'], 'filled': {'quantity'}}, {'text': '2,2', 'start': 129, 'end': 133, 'tokens': ['▁2,2'], 'names': ['B-cardinal number'], 'filled': {'cardinal number'}}]				['195,', '1', '2,2']	['сантиметров 20,']											
2022-08-21	Ёлка отличная. Нижние ветки расположены низко к полу, закрывая  опору. Ствол елки металлический, что тоже радует. Елка довольно тяжелая. На елочку доже есть паспорт, была приятно удивлена. Российское производство. Но хочу обратить внимание на то, что некоторые ветки не до конца закручены, что ли? В общем, я тоже оцарапалась. Тек что будте осторожней. А елка все равно класная)	star5	['Ёлка', 'ветки', 'Ствол елки', 'Елка']	['Positive', 'Positive', 'Positive', 'Positive']	Ёлка, ветки, Ствол елки, Елка	[{'text': 'Российское', 'start': 188, 'end': 199, 'tokens': ['▁Российск', 'ое'], 'names': ['B-group', 'O'], 'filled': {'group'}}]						['Российское']										
2022-08-20	"Ёлочка великолепная!
Смотрится шикарно.
Купил только в прошлом году. Нужно было раньше ))"	star5	['Ёлочка']	['Positive']	Ёлочка	[{'text': 'прошлом году.', 'start': 54, 'end': 68, 'tokens': ['▁прошлом', '▁году', '.'], 'names': ['B-date', 'I-date', 'O'], 'filled': {'date'}}]			['прошлом году.']													
2022-08-18	Елка красивая, описанию соответствует, но при сборке руки грязные и внизу у основания проволоки кое где торчат. Упакована хорошо, в коробку.	star4	['Елка', 'сборке', 'коробку']	['Positive', 'Negative', 'Positive']	Елка, сборке, коробку	[]																
2022-08-16	Ёлка супер. Всё как на картинке.	star5	['Ёлка']	['Positive']	Ёлка	[]																
2022-08-16	Соответствует описанию, ёлка супер😌🔥	star5	['ёлка']	['Positive']	ёлка	[]																
2022-08-16	Ёлочка отличная! Она очень пышная, не могу на неё нарадоваться. Однозначно советую!	star5	['Ёлочка']	['Positive']	Ёлочка	[]																
2022-08-10	Елка оболденная , правда немного осыпается , но это не критично , 5 	star5	['Елка']	['Neutral']	Елка	[{'text': '5', 'start': 65, 'end': 67, 'tokens': ['▁5'], 'names': ['B-cardinal number'], 'filled': {'cardinal number'}}]				['5']												
2022-08-09	Елка на первый взгляд нормальная, но вот сыпется сильно	star4	['Елка']	['Neutral']	Елка	[{'text': 'Елка', 'start': 0, 'end': 4, 'tokens': ['▁Ел', 'ка'], 'names': ['B-person', 'O'], 'filled': {'person'}}]	['Елка']															
2022-08-07	Пришла ёлка со сломанными подставками (3/4). Прошу выслать новые ножки!	star4	['ёлка']	['Negative']	ёлка	[{'text': '(3/4).', 'start': 37, 'end': 44, 'tokens': ['▁(3', '/4', ').'], 'names': ['B-cardinal number', 'I-cardinal number', 'O'], 'filled': {'cardinal number'}}]				['(3/4).']												
2022-07-30	ОТЛИЧНАЯ ЁЛКА! Устойчивая, увесистая, запакована аккуратно, удобно в сборке - разборке, выглядит натурально, распушить и все будет как на фото, даже лучше, спасибо	star5	['ЁЛКА']	['Positive']	ЁЛКА	[]																
2022-07-29	Отличная елка 🌲 особенно со скидкой 😅 выглядет натурально, пушистая, изготовлена качественно 👌🏻 хорошая подставка 😊 я очень довольна 🥰	star5	['елка', 'подставка']	['Positive', 'Positive']	елка, подставка	[]																
